name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Abraham,00-0019546,no,ATL,,31,15,1,49.0,152,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Peterson,00-0012871,no,ATL,,56,4,4,2,144,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Biermann,00-0026294,no,ATL,OLB,82,1,2,18.5,142,0,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Lofton,00-0026177,no,ATL,LB,242,10,3,6,547,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Houston,00-0025428,no,ATL,,41,2,11,0,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Grimes,00-0024183,no,ATL,CB,44,2,22,0,267,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Coleman,00-0022218,no,ATL,,53,2,1,0,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Davis,00-0023562,no,ATL,,12,1,1,2,42,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Pennington,00-0019559,no,MIA,,,,,,,2,0,3,0,0,,,,,,,,,,,,,,,76,52,2,1,0,0,432,,,,,,,,,,,,,,,,,,3,7,,0,0,0,7
P.White,00-0027020,no,MIA,,,,,,,0,0,1,0,-15,,,,,,,,,,,,,,,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,21,51,,0,0,0,81
L.Polite,00-0022405,no,MIA,,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,46,46,0,5,0,,,,,,,,,,,,,,,,,,112,0,24,0,0,0,120,63,112,4,1,0,0,185
R.Brown,00-0023437,no,MIA,,1,0,0,0,0,4,1,5,1,0,,,,,,,,,,77,83,0,8,0,8,2,0,1,0,0,22,,,,,,,,,,,435,0,109,0,0,0,815,500,707,27,15,1,0,1958
T.Ginn,00-0025396,no,MIA,WR,,,,,,1,5,9,5,0,,,,,,,,,,1523,1977,0,187,3,1,1,0,0,0,0,10,,,,,,759,1213,204,154,3,1009,188,123,7,0,0,1638,25,159,0,0,0,0,169
R.Williams,00-0017915,no,MIA,,,,,,,6,4,11,4,1,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,,,,,,,352,28,67,3,0,0,488,508,715,51,15,1,1,2238
G.Camarillo,00-0023408,no,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,208,0,39,0,512,10,83,1,1,0,957,,,,,,,
J.Haynos,00-0026026,no,MIA,,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,19,2,0,0,162,,,,,,,
D.Bess,00-0026000,no,MIA,,0,0,0,0,1,8,6,16,6,0,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,432,581,0,98,0,1237,134,310,13,1,1,3252,5,16,0,0,0,0,20
A.Fasano,00-0024268,no,MIA,TE,,,,,,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123,215,192,23,3,1,2094,,,,,,,
B.Hartline,00-0027077,no,MIA,WR,,,,,,2,1,2,1,0,,,,,,,,,,26,34,,3,0,,,,,,,,,,,,,,,,,,1966,186,298,12,0,0,4260,7,61,0,1,0,0,65
D.Carpenter,00-0026003,no,MIA,K,,,,,,,,,,,202,175,3377,525,181,1,180,1,180,,,,,,,,,,,,,29,1,29,1,29,,,,,,,,,,,,,,,,,,,
B.Fields,00-0025612,no,MIA,P,,,,,,0,1,1,1,-10,,,,,,,,,,,,,,,1,0,0,0,0,0,0,3827,170,5428,441,21064,,,,,,,,,,,,,2,0,0,0,0,0,0
P.Cobbs,00-0024172,no,MIA,,,,,,,0,0,1,0,0,,,,,,,,,,240,306,0,39,0,,,,,,,,,,,,,,,,,,89,42,11,2,0,0,114,10,30,0,0,0,0,36
J.Ferguson,00-0005150,no,MIA,,8,0,0,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.McDaniel,00-0024102,no,MIA,DT,64,0,0,9.0,101,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Taylor,00-0016112,no,MIA,,26,6,1,18.5,71,0,0,0,3,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Davis,00-0027001,no,MIA,CB,33,2,17,2,249,0,0,0,1,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Smith,00-0027037,no,MIA,CB,37,3,8,0,266,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Langford,00-0026206,no,MIA,DE,59,4,0,14.5,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Jones,00-0022828,no,MIA,,23,1,2,1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Porter,00-0013126,no,MIA,,24,3,0,16.0,84,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Merling,00-0026172,no,MIA,,12,0,0,1.5,31,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.Bell,00-0022067,no,MIA,,96,2,7,7.5,384,0,0,0,5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Starks,00-0022805,no,MIA,DT,57,1,3,23.5,167,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Allen,00-0020467,no,MIA,,6,0,2,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Wilson,00-0022815,no,MIA,,31,1,0,1,84,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Ayodele,00-0021214,no,MIA,,55,1,0,0,116,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Crowder,00-0023505,no,MIA,,14,0,1,1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Flacco,00-0026158,no,BAL,QB,,,,,,18,13,49,13,-30,,,,,,,,,,,,,,,3262,1974,80,134,4,3,22677,,,,,,,,,,,-8,0,1,0,0,0,-8,215,418,8,8,0,0,460
R.Rice,00-0026195,no,BAL,,0,0,0,0,1,7,1,8,1,2,,,,,,,,,,,,,,,2,1,0,1,0,0,1,,,,,,,,,,,1358,128,336,6,0,0,2761,1322,1562,190,37,1,1,5726
